HkeyDateTime,Status
20250526031224,Close
20250526031227,Close
20250526031232,Close
20250526031234,Close
20250526031240,Close
20250526031244,Open
20250526031256,Open
20250526031301,Open
20250526031302,Open
20250526031354,Open
20250526031401,Open
20250526031403,Close
20250526031610,Close
20250526031826,Open
20250526031909,Open
20250526032020,Open
20250526032135,Close
320250526032327,Stopped
320250526032629,Alarm
20250526032707,Open
20250526032752,Normal
20250526033022,Open
20250526033200,Open
20250526033201,Open
20250526033204,Open
20250526033205,Open
20250526033207,Open
320250526033210,Alarm
20250526033237,Close
20250526033311,Close
20250526033408,Normal
20250526033541,Open
320250526033613,Normal
20250526033640,Close
20250526033723,Open
20250526034016,Open
20250526034113,Close
20250526034201,Open
20250526034209,Open
20250526034213,Open
20250526034213,Open
20250526034214,Open
20250526034217,Open
20250526034219,Close
20250526034220,Close
20250526034225,Close
20250526034355,Close
20250526034500,Open
20250526034505,Open
20250526034505,Close
20250526034517,Close
20250526034524,Open
20250526034530,Open
20250526034611,Open
20250526034613,MidTravel
20250526034616,Close
20250526034617,Close
20250526034621,Close
20250526034639,Open
20250526034646,Open
20250526034650,Open
20250526034651,Open
20250526034707,Open
20250526034710,Open
20250526034719,Open
20250526034723,Open
20250526034751,Open
20250526034753,Open
20250526034757,Open
20250526034759,Open
20250526034802,Open
20250526034902,Failed
20250526035146,Open
20250526035151,Close
20250526035515,Close
20250526035702,Open
320250526030214,Normal
320250526030350,Alarm
20250526031020,Close
20250526031023,Close
20250526031039,Close
20250526031040,Close
20250526031044,Close
20250526031127,Close
20250526031127,Close
20250526031158,Close
320250526031201,Normal
20250526031222,Close
20250526031223,Close
20250526031224,Close
20250526031225,Open
20250526031232,Open
20250526031233,Open
20250526031236,Open
20250526031241,Open
20250526031245,Close
20250526031258,Close
20250526031302,Close
320250526031332,Alarm
20250526031354,Close
20250526031402,Open
20250526031403,Open
20250526031624,Close
20250526031827,Close
20250526031941,Close
20250526032020,Close
20250526032144,Normal
320250526032459,Normal
20250526032700,Close
20250526032709,Close
320250526032827,Alarm
20250526033048,Close
20250526033200,Close
20250526033201,Close
20250526033205,Close
20250526033205,Close
20250526033207,Close
20250526033233,Open
20250526033237,Open
20250526033403,Stopped
20250526033433,MidTravel
20250526033550,Close
320250526033633,Alarm
20250526033720,Open
20250526033829,Open
20250526034032,Open
20250526034155,Open
20250526034203,Close
20250526034210,Close
20250526034213,Close
20250526034213,Close
20250526034214,Close
20250526034218,MidTravel
20250526034219,Open
20250526034221,Open
20250526034321,Open
20250526034355,Close
20250526034500,Close
20250526034505,Open
20250526034506,Open
20250526034517,Close
20250526034527,Close
20250526034530,Close
20250526034612,Close
20250526034615,Open
20250526034616,Open
20250526034617,Open
20250526034626,Open
20250526034642,Close
20250526034647,Close
20250526034651,Close
20250526034653,Close
20250526034710,Close
20250526034711,Close
20250526034719,Close
20250526034751,Close
20250526034752,Close
20250526034753,Close
20250526034758,Close
20250526034759,Close
20250526034803,Close
320250526034922,Alarm
20250526035147,Close
20250526035303,Running
20250526035622,Alarm
320250526035905,Failed
320250526030135,Alarm
320250526030350,Alarm
20250526031020,Open
20250526031023,Open
20250526031039,Open
20250526031040,Open
20250526031044,Open
20250526031127,Open
20250526031127,Open
20250526031158,Open
320250526031200,Normal
20250526031221,Open
20250526031222,Open
20250526031224,Open
20250526031225,Close
20250526031228,Close
20250526031233,Close
20250526031234,Close
20250526031241,MidTravel
20250526031245,Open
20250526031256,Open
20250526031302,Open
320250526031332,Alarm
20250526031354,Open
20250526031402,MidTravel
20250526031403,Close
20250526031624,Open
20250526031827,Open
20250526031941,Open
20250526032020,Open
20250526032140,Stopped
320250526032458,Alarm
20250526032700,Open
20250526032709,Open
20250526032814,Running
20250526033048,Open
20250526033200,Open
20250526033201,Open
20250526033205,Open
20250526033205,Open
20250526033207,Open
20250526033233,Close
20250526033237,Close
20250526033311,Close
20250526033433,Close
20250526033549,Open
20250526033617,Close
20250526033708,Close
120250526033759,Running
20250526034020,Normal
20250526034155,Close
20250526034201,Open
20250526034210,Open
20250526034213,Open
20250526034213,Open
20250526034214,Open
20250526034218,Open
20250526034219,Close
20250526034221,Close
20250526034225,Close
20250526034355,Open
20250526034500,Open
20250526034505,MidTravel
20250526034506,Close
20250526034517,Discrepancy
20250526034527,Open
20250526034530,Open
20250526034612,Open
20250526034614,Close
20250526034616,Close
20250526034617,Close
20250526034623,Event
20250526034641,Open
20250526034647,Open
20250526034651,Open
20250526034651,Open
20250526034709,Open
20250526034711,Open
20250526034719,Open
20250526034751,Open
20250526034751,Open
20250526034753,Open
20250526034758,Open
20250526034759,Open
20250526034802,Open
320250526034922,Alarm
20250526035147,Open
20250526035244,Normal
320250526035602,Alarm
20250526035704,Normal
20250526030245,Normal
320250526030432,Normal
20250526031020,Close
20250526031030,Close
20250526031039,Close
20250526031040,Close
20250526031122,Close
20250526031127,Close
20250526031147,Open
20250526031158,Close
20250526031213,Close
20250526031222,Close
20250526031224,Close
20250526031224,Open
20250526031225,Open
20250526031232,Open
20250526031233,Open
20250526031236,Open
20250526031243,Open
20250526031256,Close
20250526031301,Close
20250526031302,Close
320250526031332,Normal
20250526031401,Open
20250526031402,Open
20250526031521,Normal
20250526031624,Close
20250526031830,Close
20250526032000,Close
320250526032028,Alarm
320250526032315,Normal
120250526032507,Stopped
20250526032707,Close
20250526032709,Close
320250526032831,Alarm
20250526033120,Close
20250526033200,Close
20250526033202,Close
20250526033205,Close
20250526033205,Close
20250526033207,Close
20250526033236,Open
20250526033240,Open
320250526033403,Alarm
20250526033433,Close
20250526033559,Close
20250526033639,Open
20250526033720,Close
20250526034006,Open
20250526034041,Running
20250526034157,Close
20250526034203,Close
20250526034212,Close
20250526034213,Close
20250526034213,Close
20250526034215,Close
20250526034218,Open
20250526034219,Open
20250526034222,Open
320250526034352,Normal
320250526034404,Alarm
20250526034501,Close
20250526034505,Open
20250526034514,Open
20250526034519,Close
20250526034527,Close
20250526034554,Close
20250526034612,Close
20250526034616,Open
20250526034617,Open
20250526034617,Open
20250526034628,Normal
20250526034644,Close
20250526034647,Close
20250526034651,Close
20250526034655,Close
20250526034710,Close
20250526034712,Close
20250526034720,Close
20250526034751,Close
20250526034753,Close
20250526034754,Close
20250526034758,Close
20250526034759,Close
20250526034804,Close
320250526035025,Normal
20250526035147,MidTravel
20250526035326,Event
20250526035648,Alarm
320250526030135,Alarm
20250526030342,Event
20250526030918,Normal
20250526031023,Close
20250526031035,Close
20250526031040,Close
20250526031042,Close
20250526031126,Close
20250526031127,Close
20250526031151,Close
20250526031159,Close
20250526031221,Close
20250526031222,Close
20250526031224,MidTravel
20250526031224,Open
20250526031228,Open
20250526031232,Open
20250526031234,Open
20250526031241,Open
20250526031245,Close
20250526031256,Close
20250526031301,Close
20250526031302,Close
20250526031354,Close
20250526031402,Close
20250526031403,Open
20250526031613,Event
20250526031826,Close
20250526031909,Close
20250526032020,Close
20250526032139,Event
320250526032458,Alarm
320250526032629,Alarm
20250526032707,Close
